"NAME","mean_pm25_exact"
"Divide",11.7365016937256
"New York",11.6930828094482
"Ramsey",11.5084886550903
"Del Norte",11.3984880447388
"Bottineau",11.2498741149902
"Hudson",11.229344367981
"Bronx",11.2184648513794
"Okanogan",11.1595220565796
"Sheridan",11.1078824996948
"Burke",11.0945043563843
"Williams",11.0667638778687
"Rolette",11.004602432251
"Franklin",10.946870803833
"Essex",10.9158229827881
"District of Columbia",10.8870964050293
"Union",10.8651266098022
"Washington",10.7899236679077
"Baltimore",10.7719593048096
"Renville",10.7644367218018
"Bergen",10.7451448440552
"Hennepin",10.7402572631836
"Kings",10.6965742111206
"Marion",10.6863441467285
"DuPage",10.6554088592529
"Allegheny",10.576735496521
"Richmond",10.5724487304688
"Arlington",10.5471267700195
"Dallas",10.5469741821289
"Cavalier",10.5295944213867
"Tarrant",10.5063858032227
"Dakota",10.4875822067261
"Anoka",10.4790859222412
"Wayne",10.4741230010986
"St. Louis",10.459867477417
"Daniels",10.4523611068726
"Cook",10.4435234069824
"Alexandria",10.384259223938
"Kittson",10.3600721359253
"Cuyahoga",10.3505506515503
"Queens",10.3362703323364
"Towner",10.2895593643188
"Mountrail",10.2369823455811
"McKenzie",10.2222099304199
"Hamilton",10.205924987793
"Harris",10.1796588897705
"Ward",10.1727886199951
"Valley",10.1600589752197
"Philadelphia",10.1566543579102
"Summit",10.1561946868896
"Lancaster",10.1313056945801
"Mercer",10.1296892166138
"Dane",10.1082305908203
"Roosevelt",10.0883855819702
"Stark",10.0826396942139
"Brooke",10.0513954162598
"Hancock",10.0490970611572
"Pembina",10.027042388916
"Adams",10.0267992019653
"Marquette",10.0250225067139
"Delaware",10.0095500946045
"Falls Church",9.99206161499023
"Ingham",9.97294521331787
"Wood",9.97292137145996
"Lebanon",9.9719409942627
"St. Louis",9.96854782104492
"Montgomery",9.96722507476807
"Montour",9.9597978591919
"Shelby",9.95213317871094
"Darke",9.94606113433838
"DeKalb",9.93874263763428
"Portage",9.93822479248047
"Juneau",9.93209552764893
"Hamilton",9.92110824584961
"Scott",9.9208517074585
"Travis",9.90963935852051
"Columbia",9.90222549438477
"Waushara",9.90212821960449
"Richland",9.8998851776123
"Westmoreland",9.89790630340576
"Heard",9.89259815216064
"Eaton",9.88160037994385
"Coshocton",9.86667728424072
"Nassau",9.86124801635742
"Phillips",9.85590934753418
"La Crosse",9.85413265228271
"Cobb",9.84261608123779
"Paulding",9.83202934265137
"St. Croix",9.82619953155518
"Oakland",9.8226432800293
"Milwaukee",9.82119083404541
"Macomb",9.81842613220215
"Medina",9.81319904327393
"Allen",9.79729843139648
"Green Lake",9.7971601486206
"Orange",9.79683589935303
"Beaver",9.79510974884033
"Wayne",9.7946720123291
"Fulton",9.76911640167236
"Sauk",9.76810359954834
"Lucas",9.76206874847412
"Jackson",9.76046466827393
"Tuscarawas",9.75783348083496
"Ascension",9.74710369110107
"Gwinnett",9.74544811248779
"Chisago",9.74285316467285
"Monroe",9.73960208892822
"Lorain",9.73021221160889
"Franklin",9.72768974304199
"Holmes",9.72273445129395
"Ramsey",9.71745586395264
"Defiance",9.71707153320312
"Jefferson",9.7079963684082
"Winnebago",9.7061014175415
"Cumberland",9.69934368133545
"Winnebago",9.69781875610352
"Butler",9.69443130493164
"Isanti",9.69113254547119
"Union",9.69102382659912
"Jackson",9.69032669067383
"Mahoning",9.68802356719971
"Middlesex",9.68556880950928
"Pierce",9.682861328125
"Blaine",9.68135643005371
"Miami",9.6803150177002
"Clinton",9.67033767700195
"Howard",9.66961574554443
"Lehigh",9.66855907440186
"Pierce",9.65541076660156
"Dauphin",9.65459537506104
"Licking",9.65258884429932
"Washington",9.65002918243408
"Clayton",9.64985752105713
"Muskingum",9.64813232421875
"Denton",9.64668941497803
"Shelby",9.63947582244873
"Marshall",9.63515377044678
"Auglaize",9.6343240737915
"Waukesha",9.63304424285889
"Knox",9.63008689880371
"Putnam",9.62728023529053
"Logan",9.62685585021973
"Will",9.62584018707275
"Guernsey",9.62474060058594
"Calhoun",9.62350749969482
"Johnson",9.61563682556152
"Williams",9.60953235626221
"Winchester",9.60762596130371
"Warren",9.60648441314697
"Rock Island",9.6046314239502
"Hendricks",9.60229110717773
"Hillsdale",9.60224056243896
"Union",9.59696578979492
"Kenton",9.59368324279785
"Boone",9.59167385101318
"Sherburne",9.58965301513672
"Walsh",9.58908271789551
"Harrison",9.58824443817139
"Clark",9.58287906646729
"McHenry",9.57814979553223
"Carver",9.57722759246826
"Van Wert",9.57697772979736
"Jay",9.57690525054932
"Snyder",9.57399749755859
"Harrisonburg",9.57179260253906
"Williamson",9.56974601745605
"Randolph",9.56547927856445
"Ohio",9.55885887145996
"Adams",9.55627536773682
"Marathon",9.55562686920166
"Wright",9.55049991607666
"Delaware",9.54945373535156
"Rockwall",9.5483226776123
"Ionia",9.5464334487915
"Boone",9.54630279541016
"Northumberland",9.5433988571167
"Steuben",9.54186534881592
"Winona",9.5394983291626
"Campbell",9.53939437866211
"Billings",9.53927040100098
"Green",9.53911399841309
"Belmont",9.53366565704346
"Hancock",9.53342628479004
"Dodge",9.53243350982666
"Livingston",9.52799987792969
"Collin",9.52767181396484
"Madison",9.522292137146
"Eau Claire",9.52081775665283
"Champaign",9.51407432556152
"Iowa",9.5119800567627
"Olmsted",9.51062870025635
"Trempealeau",9.51016426086426
"Rock",9.50909233093262
"Greene",9.505295753479
"Kane",9.49203205108643
"Ottawa",9.49106884002686
"Huntington",9.49031162261963
"Cameron",9.49010944366455
"Stephenson",9.48952007293701
"Clinton",9.47924423217773
"Goodhue",9.47900485992432
"Tippecanoe",9.47861194610596
"Polk",9.47705078125
"Hill",9.47543907165527
"LaSalle",9.47407627105713
"Calumet",9.47286605834961
"Grant",9.47204399108887
"Indiana",9.47109603881836
"Morrow",9.46623516082764
"Scott",9.45768165588379
"Carroll",9.45707988739014
"Vernon",9.4566125869751
"Gordon",9.45561027526855
"Camp",9.45528221130371
"Shiawassee",9.45465469360352
"Chippewa",9.45290088653564
"Dunn",9.45123863220215
"Allen",9.45005035400391
"Fairfield",9.44652652740479
"Lake",9.44528388977051
"Grant",9.44455242156982
"Jackson",9.44267559051514
"Tipton",9.4414873123169
"Jefferson",9.44022369384766
"Northampton",9.43771266937256
"Washington",9.43505382537842
"Pickaway",9.43209648132324
"Richland",9.43130588531494
"Smith",9.43066501617432
"Kendall",9.42891311645508
"Wabasha",9.4279260635376
"Wells",9.42621421813965
"Nacogdoches",9.42365455627441
"Lake",9.42233371734619
"Fond du Lac",9.42194747924805
"Golden Valley",9.41562557220459
"Putnam",9.41561603546143
"Buffalo",9.41555213928223
"Clay",9.41349411010742
"Bell",9.41084384918213
"Johnson",9.40992164611816
"Preble",9.40745830535889
"Kent",9.40711498260498
"Rice",9.40501117706299
"Ashland",9.40358257293701
"Columbiana",9.4003438949585
"Jefferson",9.40019226074219
"Crawford",9.39944171905518
"Barry",9.39943695068359
"DeKalb",9.39905548095703
"Carroll",9.39870071411133
"Marshall",9.39737319946289
"Linn",9.39717960357666
"Banks",9.39424991607666
"Montgomery",9.39063549041748
"Houston",9.39060497283936
"Saratoga",9.38863277435303
"Henry",9.38777160644531
"Fayette",9.38039970397949
"Roanoke",9.37576293945312
"Polk",9.37367343902588
"St. Charles",9.37230110168457
"Armstrong",9.37230014801025
"Madison",9.37110328674316
"Vigo",9.36842250823975
"Pepin",9.36791229248047
"Ogle",9.36746692657471
"Richland",9.36672973632812
"Clark",9.36368274688721
"Branch",9.3599910736084
"Montgomery",9.356520652771
"McLean",9.35551738739014
"Vermillion",9.35304164886475
"Blackford",9.3517255783081
"Norman",9.35131645202637
"Hart",9.35050773620605
"Whiteside",9.35013008117676
"Bureau",9.35003852844238
"Cambria",9.34665107727051
"Grant",9.34632587432861
"Berks",9.34554100036621
"Washtenaw",9.34313869476318
"Marion",9.3431282043457
"Dubuque",9.34153747558594
"Henry",9.33574771881104
"Jo Daviess",9.3292760848999
"Wayne",9.32657241821289
"Noble",9.32424831390381
"Mille Lacs",9.32407379150391
"Barron",9.32382965087891
"Waupaca",9.32187080383301
"Manassas",9.3204174041748
"Portage",9.31964111328125
"Kanabec",9.31678199768066
"Allamakee",9.31268310546875
"Juniata",9.31116485595703
"Lafayette",9.30896282196045
"Clinton",9.30882167816162
"Blair",9.30783462524414
"Lee",9.3052225112915
"York",9.30477905273438
"Putnam",9.30105400085449
"Grundy",9.29943656921387
"Fairfax",9.29746150970459
"Shelby",9.29730987548828
"Muscatine",9.29174709320068
"Franklin",9.29086971282959
"St. Clair",9.29003429412842
"Butler",9.28974628448486
"Lenawee",9.28087329864502
"Forsyth",9.2802267074585
"Benson",9.27578449249268
"Woodford",9.275465965271
"Clayton",9.27344417572021
"Mifflin",9.27031326293945
"Clermont",9.27001762390137
"Cameron",9.26584815979004
"Perry",9.26413536071777
"Morgan",9.26311206817627
"Washington",9.26223850250244
"Taylor",9.26089382171631
"Peoria",9.25929069519043
"Nelson",9.25735569000244
"Polk",9.25611877441406
"Delaware",9.25579071044922
"Fairfax",9.25323963165283
"Tazewell",9.25283432006836
"Rush",9.25108814239502
"Madison",9.2487621307373
"Fulton",9.2469425201416
"Richmond",9.2450704574585
"Perry",9.24443340301514
"Genesee",9.24435329437256
"Lawrence",9.24274921417236
"St. Charles",9.23789882659912
"Montcalm",9.23780536651611
"Schuylkill",9.23677730560303
"Roseau",9.2355375289917
"San Augustine",9.22795391082764
"Simpson",9.22708606719971
"Orleans",9.22520542144775
"Parke",9.22497940063477
"Bartholomew",9.22426319122314
"Jefferson",9.22287940979004
"St. James",9.22100830078125
"Fountain",9.21810817718506
"Wibaux",9.21725177764893
"East Baton Rouge",9.21543598175049
"Lafayette",9.21324443817139
"Dawson",9.20611381530762
"Luzerne",9.20032501220703
"Somerset",9.19791984558105
"Schenectady",9.19711303710938
"Stark",9.19664192199707
"Jackson",9.19266605377197
"Scott",9.19200992584229
"Pope",9.19161415100098
"West Baton Rouge",9.1896505355835
"Berkeley",9.18899345397949
"Decatur",9.1872091293335
"Vermilion",9.18657779693604
"Page",9.18644332885742
"Stevens",9.18636322021484
"Anne Arundel",9.18531131744385
"Charlottesville",9.18511772155762
"Marshall",9.18467044830322
"Fillmore",9.18419456481934
"Carroll",9.18410491943359
"Mineral",9.18339347839355
"Lake of the Woods",9.182541847229
"Dunn",9.17984867095947
"Concordia",9.17975616455078
"Ottawa",9.17914485931396
"Black Hawk",9.17639923095703
"Henry",9.17605113983154
"Day",9.17159652709961
"Columbia",9.17045974731445
"Prince George's",9.17018222808838
"Manassas Park",9.17017269134521
"Huntingdon",9.1693754196167
"Monroe",9.16851139068604
"Clay",9.16763401031494
"Dodge",9.16646862030029
"Wabash",9.16434955596924
"Montgomery",9.16379642486572
"Winneshiek",9.16301727294922
"Cedar",9.16214561462402
"Brown",9.16122627258301
"Warren",9.15799427032471
"Tulsa",9.15566539764404
"Albany",9.15110111236572
"Outagamie",9.15104389190674
"Morgan",9.14842414855957
"Adams",9.14697647094727
"Kandiyohi",9.14670562744141
"McLean",9.14580059051514
"Wilkin",9.14566802978516
"Gratiot",9.14447212219238
"Clinton",9.1431884765625
"Terrebonne",9.14146995544434
"Monroe",9.1412239074707
"Ouachita",9.13934230804443
"Jones",9.13853359222412
"Wood",9.13547515869141
"Lincoln",9.13333129882812
"Hardin",9.13202381134033
"Pennington",9.12956809997559
"Saginaw",9.12925338745117
"Monongalia",9.12795257568359
"Allegany",9.1269359588623
"Kalamazoo",9.12661552429199
"Gregg",9.12592124938965
"Leake",9.12270164489746
"Rusk",9.11899948120117
"Benton",9.11805057525635
"Union",9.11758804321289
"Caddo",9.11748504638672
"Erie",9.11583709716797
"Delaware",9.11363410949707
"Fayette",9.11329174041748
"McLennan",9.1105842590332
"Stark",9.10725688934326
"Buchanan",9.10682392120361
"Lackawanna",9.10675144195557
"Greene",9.10586738586426
"Meeker",9.1053524017334
"McLean",9.1024751663208
"Wyandotte",9.10161209106445
"Le Sueur",9.10080718994141
"De Soto",9.10006713867188
"Boundary",9.0997428894043
"Hall",9.09695529937744
"Whitley",9.0958137512207
"Covington",9.09167098999023
"Cullman",9.09153270721436
"Ellis",9.0893030166626
"Douglas",9.08778476715088
"McCone",9.08621788024902
"Crawford",9.08413314819336
"Falls",9.08392906188965
"Madison",9.08266735076904
"Red Lake",9.08078098297119
"Grand Forks",9.07838821411133
"Panola",9.07717037200928
"Ozaukee",9.07709789276123
"Acadia",9.07668113708496
"Bexar",9.07501983642578
"Vanderburgh",9.07216930389404
"Sullivan",9.07159996032715
"Hettinger",9.07075119018555
"Bradford",9.06541347503662
"Catahoula",9.0636739730835
"Fayette",9.06171226501465
"Fulton",9.05947494506836
"Fayette",9.05556869506836
"Clark",9.05477237701416
"McLeod",9.05466938018799
"Iowa",9.05440425872803
"Centre",9.05230808258057
"Louisa",9.05072975158691
"Salem",9.05058860778809
"Allegan",9.04500865936279
"Wyandot",9.04451656341553
"St. Mary",9.04359436035156
"Sheboygan",9.03998279571533
"Baltimore",9.0393180847168
"Vermilion",9.03925800323486
"Big Stone",9.03919315338135
"Benton",9.03807926177979
"Livingston",9.03629398345947
"Galveston",9.0355224609375
"Howard",9.0351505279541
"Lincoln",9.0343074798584
"Monroe",9.0329065322876
"Smith",9.03152275085449
"Morgan",9.02803230285645
"Des Moines",9.0280065536499
"Hancock",9.0264949798584
"Traverse",9.02554321289062
"Hidalgo",9.02525329589844
"Mercer",9.02261161804199
"Brown",9.02251243591309
"Knox",9.02083206176758
"Dearborn",9.0205888748169
"Jefferson Davis",9.01994132995605
"Huron",9.01685333251953
"Bedford",9.01626777648926
"Steele",9.01621532440186
"Avoyelles",9.01604843139648
"Titus",9.01297092437744
"Miami",9.01265621185303
"Pointe Coupee",9.01256656646729
"McHenry",9.01220226287842
"Davidson",9.01168632507324
"Daviess",9.01073551177979
"Fort Bend",9.01004219055176
"Walworth",9.00927448272705
"Westchester",9.00716972351074
"Monroe",9.00703811645508
"Warren",9.00692081451416
"Swift",9.00679206848145
"Benton",9.00599193572998
"Edgar",9.00577163696289
"Macon",9.00551605224609
"Washington",9.00545310974121
"Assumption",9.00503921508789
"Sabine",9.00428581237793
"Washington",9.00386333465576
"Evangeline",9.00254440307617
"Rensselaer",8.99892520904541
"Lake",8.99730205535889
"Neshoba",8.99683380126953
"Champaign",8.99677085876465
"Bremer",8.99265289306641
"Lycoming",8.98587608337402
"Stearns",8.98546504974365
"Orange",8.98479270935059
"Jackson",8.98355007171631
"Rapides",8.98154640197754
"Navarro",8.98099708557129
"Jefferson",8.97922897338867
"Douglas",8.97700214385986
"Noble",8.97697162628174
"Tensas",8.97583770751953
"Wyoming",8.97531127929688
"Carbon",8.97500038146973
"Clinton",8.9748592376709
"Poweshiek",8.97456359863281
"Ripley",8.97366905212402
"Elkhart",8.9728193283081
"Morris",8.97239398956299
"Marshall",8.97120666503906
"Franklin",8.97110557556152
"Sheridan",8.97055149078369
"Isabella",8.96969699859619
"Mecklenburg",8.96850490570068
"Ohio",8.96709823608398
"Frederick",8.96621417999268
"Hocking",8.96383762359619
"Chickasaw",8.96131706237793
"Shawano",8.96119689941406
"Racine",8.95583820343018
"Montgomery",8.95468425750732
"Daviess",8.95187568664551
"Jefferson",8.95151996612549
"Morehouse",8.95116329193115
"Ross",8.95102310180664
"Ferry",8.9506196975708
"Marshall",8.95029735565186
"Clark",8.94930267333984
"Beadle",8.94769668579102
"Passaic",8.94749736785889
"Red River",8.94734859466553
"Boone",8.94515514373779
"DeKalb",8.94469356536865
"Owen",8.94421100616455
"Greene",8.94246196746826
"Jasper",8.94207763671875
"Mower",8.94075870513916
"Madison",8.9403486251831
"Johnson",8.94025039672852
"Traill",8.93986797332764
"Iberia",8.93715381622314
"Garrett",8.93467426300049
"Tama",8.93460655212402
"Wood",8.93352222442627
"Spink",8.93297958374023
"Howard",8.93251037597656
"Chemung",8.93150234222412
"Sandusky",8.93069458007812
"Broome",8.92669486999512
"Jackson",8.92507743835449
"Johnson",8.92298889160156
"Bradley",8.92098331451416
"Rankin",8.92072296142578
"Kingsbury",8.92018413543701
"Walker",8.91879653930664
"Benton",8.91740226745605
"Hampshire",8.91554832458496
"Rockingham",8.9129753112793
"Harrison",8.91290092468262
"Richland",8.91225147247314
"Knox",8.9117021560669
"Mercer",8.91038608551025
"Hays",8.90962314605713
"Kenosha",8.90896511077881
"Bossier",8.90862846374512
"Shenandoah",8.90834140777588
"Craighead",8.90786457061768
"Langlade",8.90732574462891
"Jennings",8.90668678283691
"Angelina",8.90507888793945
"Spencer",8.90493583679199
"Colquitt",8.90491771697998
"Hamilton",8.90391731262207
"Franklin",8.90290546417236
"East Carroll",8.90254020690918
"Bartow",8.90111064910889
"Sabine",8.90059280395508
"Union",8.89935684204102
"Milam",8.89922046661377
"Sarpy",8.89871978759766
"Lincoln",8.89739513397217
"Upshur",8.89696598052979
"Athens",8.89632320404053
"Manitowoc",8.89550113677979
"Franklin",8.89511394500732
"Henderson",8.89399909973145
"Oklahoma",8.89396476745605
"Carroll",8.89038276672363
"Sharkey",8.88912487030029
"Addison",8.88898181915283
"Jefferson",8.88842391967773
"Calcasieu",8.88811588287354
"LaGrange",8.88743114471436
"Frederick",8.88706588745117
"Trumbull",8.88656616210938
"Sibley",8.88459300994873
"Whitfield",8.88322067260742
"Highland",8.8825273513794
"Chippewa",8.88071823120117
"Coles",8.87996196746826
"Mecosta",8.87970924377441
"Humphreys",8.87847328186035
"Slope",8.87764263153076
"Warrick",8.87533283233643
"St. John the Baptist",8.8750171661377
"Sangamon",8.87497901916504
"Bay",8.87390613555908
"Issaquena",8.8699779510498
"Warren",8.86966705322266
"Ford",8.8692045211792
"Grant",8.86664867401123
"Marion",8.86435604095459
"Faulk",8.86430358886719
"Iberville",8.86425399780273
"Trinity",8.85947036743164
"Clarke",8.85904598236084
"Brown",8.85901165008545
"Knox",8.85776996612549
"Brazos",8.85764598846436
"Nicollet",8.85637855529785
"Seneca",8.85587882995605
"Fayette",8.85513401031494
"Tioga",8.85429668426514
"Crawford",8.85338497161865
"Poinsett",8.85102558135986
"Lafourche",8.85025501251221
"Hill",8.84989738464355
"Mahaska",8.84989166259766
"De Witt",8.84909534454346
"Henderson",8.84881210327148
"Montgomery",8.84721660614014
"Keokuk",8.84545040130615
"Mitchell",8.84305477142334
"Sullivan",8.84295177459717
"Douglas",8.8424015045166
"Switzerland",8.8422441482544
"Rusk",8.84184741973877
"Little River",8.84177303314209
"Wood",8.84162616729736
"Cherokee",8.84084606170654
"Comal",8.83870124816895
"Richland",8.83777618408203
"Jasper",8.83755207061768
"Los Angeles",8.83684635162354
"Washington",8.83681392669678
"Effingham",8.83606815338135
"Natchitoches",8.83540058135986
"Pleasants",8.834792137146
"St. Joseph",8.83443260192871
"Muskegon",8.83416080474854
"Pend Oreille",8.83193206787109
"Waseca",8.8309965133667
"Gibson",8.83010482788086
"Sanborn",8.82665348052979
"Greene",8.82517719268799
"Sevier",8.82450294494629
"Edmunds",8.82443523406982
"St. Joseph",8.82436180114746
"Tioga",8.82430934906006
"Hand",8.82363510131836
"Marshall",8.82337379455566
"Mitchell",8.82176971435547
"Porter",8.82156848907471
"Kaufman",8.82091236114502
"Shelby",8.82009696960449
"Pickens",8.8167200088501
"Piatt",8.81609535217285
"Clearfield",8.81520938873291
"Gallatin",8.81514930725098
"Beltrami",8.81390476226807
"Stevens",8.81339168548584
"Catoosa",8.8122730255127
"Hardy",8.81210136413574
"Limestone",8.81005001068115
"Pike",8.80991744995117
"Marion",8.80956935882568
"Chambers",8.80870532989502
"Geauga",8.80840682983398
"Midland",8.80815315246582
"Logan",8.80776405334473
"Clarke",8.80683326721191
"Clinton",8.80502891540527
"Fredericksburg",8.80495643615723
"Cass",8.80467319488525
"Gonzales",8.80428504943848
"Brown",8.80352973937988
"Adams",8.80241203308105
"Lawrence",8.80189895629883
"Hamlin",8.7981481552124
"DeKalb",8.79742050170898
"Cumberland",8.79613971710205
"Lake",8.79541397094727
"Dubois",8.79379081726074
"Rockland",8.7922191619873
"Jefferson",8.79184532165527
"Henry",8.79120826721191
"Grant",8.78911113739014
"Henderson",8.78872680664062
"Cass",8.78619480133057
"St. Bernard",8.78592491149902
"Meigs",8.7846794128418
"Story",8.78459739685059
"Robertson",8.78422737121582
"Potter",8.77858448028564
"Kosciusko",8.7783260345459
"Floyd",8.77822399139404
"Caldwell",8.77732181549072
"Kidder",8.7773027420044
"Coweta",8.7772741317749
"Washington",8.77455425262451
"Barrow",8.77418422698975
"St. Clair",8.77289009094238
"Lawrence",8.77233123779297
"Lafayette",8.77162170410156
"Christian",8.77066993713379
"Mason",8.7658863067627
"Moultrie",8.76553535461426
"Marion",8.76450252532959
"St. Landry",8.76171112060547
"Rappahannock",8.76141548156738
"Vinton",8.76082801818848
"Jefferson",8.76030826568604
"Miner",8.75778579711914
"LaSalle",8.75725841522217
"St. Martin",8.75696563720703
"Washington",8.75645446777344
"Richland",8.75603294372559
"Chittenden",8.75596904754639
"Otter Tail",8.75467491149902
"Vernon",8.75432968139648
"Freestone",8.75314903259277
"Howard",8.7525749206543
"Koochiching",8.75219821929932
"Murray",8.751296043396
"Shelby",8.75065803527832
"Cherokee",8.74786472320557
"Newaygo",8.74736499786377
"Erie",8.74666500091553
"Grundy",8.74594688415527
"Gilmer",8.74209117889404
"Columbia",8.74140548706055
"Taylor",8.74020957946777
"West Feliciana",8.73953723907471
"Dawson",8.73909759521484
"Lawrence",8.73864936828613
"Liberty",8.73644351959229
"Jackson",8.73642158508301
"Carroll",8.73635101318359
"Scott",8.7354211807251
"Floyd",8.73443222045898
